Lobe,Gyrus,Number
Frontal Lobe , Superior Frontal Gyrus  ,0
Frontal Lobe , Superior Frontal Gyrus  ,1
Frontal Lobe , Superior Frontal Gyrus  ,2
Frontal Lobe , Superior Frontal Gyrus  ,3
Frontal Lobe , Superior Frontal Gyrus  ,4
Frontal Lobe , Superior Frontal Gyrus  ,5
Frontal Lobe , Superior Frontal Gyrus  ,6
Frontal Lobe , Superior Frontal Gyrus  ,7
Frontal Lobe , Superior Frontal Gyrus  ,8
Frontal Lobe , Superior Frontal Gyrus  ,9
Frontal Lobe , Superior Frontal Gyrus  ,10
Frontal Lobe , Superior Frontal Gyrus  ,11
Frontal Lobe , Superior Frontal Gyrus  ,12
Frontal Lobe , Superior Frontal Gyrus  ,13
Frontal Lobe , Middle Frontal Gyrus ,14
Frontal Lobe , Middle Frontal Gyrus ,15
Frontal Lobe , Middle Frontal Gyrus ,16
Frontal Lobe , Middle Frontal Gyrus ,17
Frontal Lobe , Middle Frontal Gyrus ,18
Frontal Lobe , Middle Frontal Gyrus ,19
Frontal Lobe , Middle Frontal Gyrus ,20
Frontal Lobe , Middle Frontal Gyrus ,21
Frontal Lobe , Middle Frontal Gyrus ,22
Frontal Lobe , Middle Frontal Gyrus ,23
Frontal Lobe , Middle Frontal Gyrus ,24
Frontal Lobe , Middle Frontal Gyrus ,25
Frontal Lobe , Middle Frontal Gyrus ,26
Frontal Lobe , Middle Frontal Gyrus ,27
Frontal Lobe , Inferior Frontal Gyrus,28
Frontal Lobe , Inferior Frontal Gyrus,29
Frontal Lobe , Inferior Frontal Gyrus,30
Frontal Lobe , Inferior Frontal Gyrus,31
Frontal Lobe , Inferior Frontal Gyrus,32
Frontal Lobe , Inferior Frontal Gyrus,33
Frontal Lobe , Inferior Frontal Gyrus,34
Frontal Lobe , Inferior Frontal Gyrus,35
Frontal Lobe , Inferior Frontal Gyrus,36
Frontal Lobe , Inferior Frontal Gyrus,37
Frontal Lobe , Inferior Frontal Gyrus,38
Frontal Lobe , Inferior Frontal Gyrus,39
Frontal Lobe , Orbital Gyrus,40
Frontal Lobe , Orbital Gyrus,41
Frontal Lobe , Orbital Gyrus,42
Frontal Lobe , Orbital Gyrus,43
Frontal Lobe , Orbital Gyrus,44
Frontal Lobe , Orbital Gyrus,45
Frontal Lobe , Orbital Gyrus,46
Frontal Lobe , Orbital Gyrus,47
Frontal Lobe , Orbital Gyrus,48
Frontal Lobe , Orbital Gyrus,49
Frontal Lobe , Orbital Gyrus,50
Frontal Lobe , Orbital Gyrus,51
Frontal Lobe , Precentral Gyrus,52
Frontal Lobe , Precentral Gyrus,53
Frontal Lobe , Precentral Gyrus,54
Frontal Lobe , Precentral Gyrus,55
Frontal Lobe , Precentral Gyrus,56
Frontal Lobe , Precentral Gyrus,57
Frontal Lobe , Precentral Gyrus,58
Frontal Lobe , Precentral Gyrus,59
Frontal Lobe , Precentral Gyrus,60
Frontal Lobe , Precentral Gyrus,61
Frontal Lobe , Precentral Gyrus,62
Frontal Lobe , Precentral Gyrus,63
Frontal Lobe , Paracentral Lobule,64
Frontal Lobe , Paracentral Lobule,65
Frontal Lobe , Paracentral Lobule,66
Frontal Lobe , Paracentral Lobule,67
Temporal Lobe, Superior Temporal Gyrus,68
Temporal Lobe, Superior Temporal Gyrus,69
Temporal Lobe, Superior Temporal Gyrus,70
Temporal Lobe, Superior Temporal Gyrus,71
Temporal Lobe, Superior Temporal Gyrus,72
Temporal Lobe, Superior Temporal Gyrus,73
Temporal Lobe, Superior Temporal Gyrus,74
Temporal Lobe, Superior Temporal Gyrus,75
Temporal Lobe, Superior Temporal Gyrus,76
Temporal Lobe, Superior Temporal Gyrus,77
Temporal Lobe, Superior Temporal Gyrus,78
Temporal Lobe, Superior Temporal Gyrus,79
Temporal Lobe, Middle Temporal Gyrus,80
Temporal Lobe, Middle Temporal Gyrus,81
Temporal Lobe, Middle Temporal Gyrus,82
Temporal Lobe, Middle Temporal Gyrus,83
Temporal Lobe, Middle Temporal Gyrus,84
Temporal Lobe, Middle Temporal Gyrus,85
Temporal Lobe, Middle Temporal Gyrus,86
Temporal Lobe, Middle Temporal Gyrus,87
Temporal Lobe, Inferior Temporal Gyrus,88
Temporal Lobe, Inferior Temporal Gyrus,89
Temporal Lobe, Inferior Temporal Gyrus,90
Temporal Lobe, Inferior Temporal Gyrus,91
Temporal Lobe, Inferior Temporal Gyrus,92
Temporal Lobe, Inferior Temporal Gyrus,93
Temporal Lobe, Inferior Temporal Gyrus,94
Temporal Lobe, Inferior Temporal Gyrus,95
Temporal Lobe, Inferior Temporal Gyrus,96
Temporal Lobe, Inferior Temporal Gyrus,97
Temporal Lobe, Inferior Temporal Gyrus,98
Temporal Lobe, Inferior Temporal Gyrus,99
Temporal Lobe, Inferior Temporal Gyrus,100
Temporal Lobe, Inferior Temporal Gyrus,101
Temporal Lobe, Fusiform Gyrus,102
Temporal Lobe, Fusiform Gyrus,103
Temporal Lobe, Fusiform Gyrus,104
Temporal Lobe, Fusiform Gyrus,105
Temporal Lobe, Fusiform Gyrus,106
Temporal Lobe, Fusiform Gyrus,107
Temporal Lobe, Parahippocampal Gyrus,108
Temporal Lobe, Parahippocampal Gyrus,109
Temporal Lobe, Parahippocampal Gyrus,110
Temporal Lobe, Parahippocampal Gyrus,111
Temporal Lobe, Parahippocampal Gyrus,112
Temporal Lobe, Parahippocampal Gyrus,113
Temporal Lobe, Parahippocampal Gyrus,114
Temporal Lobe, Parahippocampal Gyrus,115
Temporal Lobe, Parahippocampal Gyrus,116
Temporal Lobe, Parahippocampal Gyrus,117
Temporal Lobe, Parahippocampal Gyrus,118
Temporal Lobe, Parahippocampal Gyrus,119
Temporal Lobe, posterior Superior Temporal Sulcus ,120
Temporal Lobe, posterior Superior Temporal Sulcus ,121
Temporal Lobe, posterior Superior Temporal Sulcus ,122
Temporal Lobe, posterior Superior Temporal Sulcus ,123
Parietal Lobe, Superior Parietal Lobule,124
Parietal Lobe, Superior Parietal Lobule,125
Parietal Lobe, Superior Parietal Lobule,126
Parietal Lobe, Superior Parietal Lobule,127
Parietal Lobe, Superior Parietal Lobule,128
Parietal Lobe, Superior Parietal Lobule,129
Parietal Lobe, Superior Parietal Lobule,130
Parietal Lobe, Superior Parietal Lobule,131
Parietal Lobe, Superior Parietal Lobule,132
Parietal Lobe, Superior Parietal Lobule,133
Parietal Lobe, Inferior Parietal Lobule,134
Parietal Lobe, Inferior Parietal Lobule,135
Parietal Lobe, Inferior Parietal Lobule,136
Parietal Lobe, Inferior Parietal Lobule,137
Parietal Lobe, Inferior Parietal Lobule,138
Parietal Lobe, Inferior Parietal Lobule,139
Parietal Lobe, Inferior Parietal Lobule,140
Parietal Lobe, Inferior Parietal Lobule,141
Parietal Lobe, Inferior Parietal Lobule,142
Parietal Lobe, Inferior Parietal Lobule,143
Parietal Lobe, Inferior Parietal Lobule,144
Parietal Lobe, Inferior Parietal Lobule,145
Parietal Lobe, Precuneus,146
Parietal Lobe, Precuneus,147
Parietal Lobe, Precuneus,148
Parietal Lobe, Precuneus,149
Parietal Lobe, Precuneus,150
Parietal Lobe, Precuneus,151
Parietal Lobe, Precuneus,152
Parietal Lobe, Precuneus,153
Parietal Lobe, Postcentral Gyrus,154
Parietal Lobe, Postcentral Gyrus,155
Parietal Lobe, Postcentral Gyrus,156
Parietal Lobe, Postcentral Gyrus,157
Parietal Lobe, Postcentral Gyrus,158
Parietal Lobe, Postcentral Gyrus,159
Parietal Lobe, Postcentral Gyrus,160
Parietal Lobe, Postcentral Gyrus,161
Insular Lobe, Insular Gyrus,162
Insular Lobe, Insular Gyrus,163
Insular Lobe, Insular Gyrus,164
Insular Lobe, Insular Gyrus,165
Insular Lobe, Insular Gyrus,166
Insular Lobe, Insular Gyrus,167
Insular Lobe, Insular Gyrus,168
Insular Lobe, Insular Gyrus,169
Insular Lobe, Insular Gyrus,170
Insular Lobe, Insular Gyrus,171
Insular Lobe, Insular Gyrus,172
Insular Lobe, Insular Gyrus,173
Limbic Lobe, Cingulate Gyrus,174
Limbic Lobe, Cingulate Gyrus,175
Limbic Lobe, Cingulate Gyrus,176
Limbic Lobe, Cingulate Gyrus,177
Limbic Lobe, Cingulate Gyrus,178
Limbic Lobe, Cingulate Gyrus,179
Limbic Lobe, Cingulate Gyrus,180
Limbic Lobe, Cingulate Gyrus,181
Limbic Lobe, Cingulate Gyrus,182
Limbic Lobe, Cingulate Gyrus,183
Limbic Lobe, Cingulate Gyrus,184
Limbic Lobe, Cingulate Gyrus,185
Limbic Lobe, Cingulate Gyrus,186
Limbic Lobe, Cingulate Gyrus,187
Occipital Lobe, MedioVentral Occipital Cortex,188
Occipital Lobe, MedioVentral Occipital Cortex,189
Occipital Lobe, MedioVentral Occipital Cortex,190
Occipital Lobe, MedioVentral Occipital Cortex,191
Occipital Lobe, MedioVentral Occipital Cortex,192
Occipital Lobe, MedioVentral Occipital Cortex,193
Occipital Lobe, MedioVentral Occipital Cortex,194
Occipital Lobe, MedioVentral Occipital Cortex,195
Occipital Lobe, MedioVentral Occipital Cortex,196
Occipital Lobe, MedioVentral Occipital Cortex,197
Occipital Lobe, lateral Occipital Cortex,198
Occipital Lobe, lateral Occipital Cortex,199
Occipital Lobe, lateral Occipital Cortex,200
Occipital Lobe, lateral Occipital Cortex,201
Occipital Lobe, lateral Occipital Cortex,202
Occipital Lobe, lateral Occipital Cortex,203
Occipital Lobe, lateral Occipital Cortex,204
Occipital Lobe, lateral Occipital Cortex,205
Occipital Lobe, lateral Occipital Cortex,206
Occipital Lobe, lateral Occipital Cortex,207
Occipital Lobe, lateral Occipital Cortex,208
Occipital Lobe, lateral Occipital Cortex,209
Subcortical Nuclei, Amygdala,210
Subcortical Nuclei, Amygdala,211
Subcortical Nuclei, Amygdala,212
Subcortical Nuclei, Amygdala,213
Subcortical Nuclei, Hippocampus,214
Subcortical Nuclei, Hippocampus,215
Subcortical Nuclei, Hippocampus,216
Subcortical Nuclei, Hippocampus,217
Subcortical Nuclei, Basal Ganglia,218
Subcortical Nuclei, Basal Ganglia,219
Subcortical Nuclei, Basal Ganglia,220
Subcortical Nuclei, Basal Ganglia,221
Subcortical Nuclei, Basal Ganglia,222
Subcortical Nuclei, Basal Ganglia,223
Subcortical Nuclei, Basal Ganglia,224
Subcortical Nuclei, Basal Ganglia,225
Subcortical Nuclei, Basal Ganglia,226
Subcortical Nuclei, Basal Ganglia,227
Subcortical Nuclei, Basal Ganglia,228
Subcortical Nuclei, Basal Ganglia,229
Subcortical Nuclei, Thalamus,230
Subcortical Nuclei, Thalamus,231
Subcortical Nuclei, Thalamus,232
Subcortical Nuclei, Thalamus,233
Subcortical Nuclei, Thalamus,234
Subcortical Nuclei, Thalamus,235
Subcortical Nuclei, Thalamus,236
Subcortical Nuclei, Thalamus,237
Subcortical Nuclei, Thalamus,238
Subcortical Nuclei, Thalamus,239
Subcortical Nuclei, Thalamus,240
Subcortical Nuclei, Thalamus,241
Subcortical Nuclei, Thalamus,242
Subcortical Nuclei, Thalamus,243
Subcortical Nuclei, Thalamus,244
Subcortical Nuclei, Thalamus,245